num_nodes,model_family,mean_best_test_acc,std_best_test_acc
20,baseline,0.7073446114857992,0.0358932636695189
20,gcn,0.6994350282485876,0.06547873920405436
20,graph_transformer,0.7518361581920905,0.0802348904904575
20,graphormer,0.746186440677966,0.08786586823957195
40,baseline,0.6879943609237671,0.014611365663077159
40,gcn,0.6903954802259887,0.03500386430289105
40,graph_transformer,0.6800847457627119,0.040613472885649426
40,graphormer,0.6899717514124294,0.016129918766739672
