target,num_nodes,model_family,best_test_mae,best_test_pct_error
component_fraction,20,baseline,0.0302692335098981,47.60080467521936
component_fraction,20,gcn,0.0199024360626935,31.29818174191701
component_fraction,20,graph_transformer,0.0150671619921922,23.69432429683762
component_fraction,20,graphormer,0.0145229520276188,22.8385103490713
component_fraction,40,baseline,0.039475679397583,81.1357829870293
component_fraction,40,gcn,0.027126844972372,55.75477966152296
component_fraction,40,graph_transformer,0.0264720991253852,54.40905698458703
component_fraction,40,graphormer,0.0253792330622673,52.16285007734247
diameter_fraction,20,baseline,0.0481348074972629,17.21423435380624
diameter_fraction,20,gcn,0.0454507581889629,16.25434989155146
diameter_fraction,20,graph_transformer,0.044353500008583,15.86194239174449
diameter_fraction,20,graphormer,0.0446098037064075,15.953603128527305
diameter_fraction,40,baseline,0.0355954430997371,23.518968291080803
diameter_fraction,40,gcn,0.0252494476735591,16.683061299105624
diameter_fraction,40,graph_transformer,0.0248084124177694,16.391656183931115
diameter_fraction,40,graphormer,0.0240394081920385,15.883552212588622
edge_survival_ratio,20,baseline,0.1522125601768493,23.965962873213094
edge_survival_ratio,20,gcn,0.1435446143150329,22.60118937180195
edge_survival_ratio,20,graph_transformer,0.142778530716896,22.480569029765817
edge_survival_ratio,20,graphormer,0.1427845507860183,22.481516893417226
edge_survival_ratio,40,baseline,0.1420783251523971,24.53431778199637
edge_survival_ratio,40,gcn,0.1575058251619339,27.198363739813903
edge_survival_ratio,40,graph_transformer,0.1390763968229293,24.015939883643888
edge_survival_ratio,40,graphormer,0.1566934585571289,27.058082944580786
lcc_fraction,20,baseline,0.1250190883874893,16.424944021327413
lcc_fraction,20,gcn,0.1243868097662925,16.34187557879605
lcc_fraction,20,graph_transformer,0.1177487298846244,15.469768032086337
lcc_fraction,20,graphormer,0.114621952176094,15.058973572678925
lcc_fraction,40,baseline,0.1124322935938835,15.621160289857974
lcc_fraction,40,gcn,0.1235916167497634,17.171618527186038
lcc_fraction,40,graph_transformer,0.1168510988354682,16.23510191429722
lcc_fraction,40,graphormer,0.1207847222685813,16.781633166168294
